identity_key,korean_name,other_names_or_codes,record_type,final_tier,ga_window,faction_or_org,function_summary,tier_evidence,source_docs,alias_merge_hints,aliases
receiver-refusing-1100t,,Receiver Who Refuses 1100 t,OFFICE,N/A,GA7(E791-800),수용 시설,불안전 저장·치료능력 부족으로 수령 거부; 거부는 합법·작전상 유효,ga7 e791-800 §10,ga7 문서군,무명 — 직위/기관 행; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 1100t 거부 수용자),Receiver refusing 1100t
former-civic-emergency-chair,,Former Civic Emergency Chair,OFFICE,N/A,GA3(E311-330),시빅→중앙집권 야당,임시 배분 사무소 의장직 만료 후 야당 합류; 실직이 범죄화 아님 잠금,ga3-final §8,ga3 문서군,개인명 미부여; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 전 시빅 비상 의장),Former Civic Emergency Chair
neutral-rights-observer,,Neutral Rights Observer,OFFICE,N/A,GA8(E801-825),중립 감시,협약 과정·청구·동의·비상 보존 감시; 서명 투표 없음,ga8-e801-825 §12,ga8 문서군,무명 — 기관일 가능성; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 중립 권리 감시자),Neutral Rights Observer
outside-mirror-custodian,,Outside Mirror Custodian,OFFICE,N/A,GA8(E801-825),독립 미러 네트워크,결락 안전·출처 노트 포함 독립 사본 보존; 자체 위임 하 공개 거부 가능,ga8-e801-825 §13,ga8 문서군,중립 수탁 네트워크(이벤 탈)와 중첩 가능 — 미결; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 외부 미러 관리자),Outside Mirror Custodian
ar-civ-001,AR-CIV-001,AR-CIV-001,OFFICE,N/A,GA3,아르디스 지역 세력,시빅 연속성 평의회 의장/시장 대행 — 이름 OPEN,ardis-local-factions,ardis-local-factions,,AR-CIV-001
ar-wrk-001,AR-WRK-001,AR-WRK-001,OFFICE,N/A,GA3,아르디스 지역 세력,파운드리 파업·비상운영 의장 — 이름 OPEN,ardis-local-factions,ardis-local-factions,케라 모트 인접 직위 — 동일 여부 미결,AR-WRK-001
ar-nod-001,AR-NOD-001,AR-NOD-001,OFFICE,N/A,GA3,아르디스 지역 세력,노드 커스토디언 칼리지 선임 운영자 — 이름 OPEN,ardis-local-factions,ardis-local-factions,토마 칼과의 관계 미결,AR-NOD-001
ar-trn-001,AR-TRN-001,AR-TRN-001,OFFICE,N/A,GA3,아르디스 지역 세력,트랜짓·미등록 주민의회 순환 대표 — 이름 OPEN,ardis-local-factions,ardis-local-factions,아리 벤 인접 — 동일 여부 미결,AR-TRN-001
ar-fed-001,AR-FED-001,AR-FED-001,OFFICE,N/A,GA3,아르디스 지역 세력,연방파/독립 연합 지역의원·방위 조직가 — 이름 OPEN,ardis-local-factions,ardis-local-factions,바렌 수트와 별개 층위,AR-FED-001
ar-hel-001,AR-HEL-001,AR-HEL-001,OFFICE,N/A,GA3,아르디스 지역 세력,헬릭스-채권단 복구청 지역 관재 이사 — 이름 OPEN; R-HEL-001과 구분,ardis-local-factions,ardis-local-factions,이븐 코르와 관계 미결,AR-HEL-001
ar-def-001,AR-DEF-001,AR-DEF-001,OFFICE,N/A,GA3,아르디스 지역 세력,지역방위 사령관 대행 — 이름 OPEN,ardis-local-factions,ardis-local-factions,현직자 셀라 코브 추정(UNCERTAIN),AR-DEF-001
rec-l01,REC-L01,REC-L01,OFFICE,N/A,GA8,기록전쟁 6개 세력,연속성 인증국 대표 — 이름 OPEN,ga8-record-war-factions,ga8-record-war-factions,A-001=아벤 로 슬롯 추정,REC-L01
rec-l02,REC-L02,REC-L02,OFFICE,N/A,GA8,기록전쟁 6개 세력,복수 아카이브 연합 대표 — S-001 또는 독립 소집자 권장,ga8-record-war-factions,ga8-record-war-factions,세린 오르 슬롯 겹침,REC-L02
rec-l03,REC-L03,REC-L03,OFFICE,N/A,GA8,기록전쟁 6개 세력,복원 진실 의회 대표 — 이름 OPEN,ga8-record-war-factions,ga8-record-war-factions,,REC-L03
rec-l04,REC-L04,REC-L04,OFFICE,N/A,GA8,기록전쟁 6개 세력,망각권/해방망 대표 — 이름 OPEN,ga8-record-war-factions,ga8-record-war-factions,,REC-L04
rec-l05,REC-L05,REC-L05,OFFICE,N/A,GA8,기록전쟁 6개 세력,AI·복합 인격 협약 대표 — 단일 대변인 회피,ga8-record-war-factions,ga8-record-war-factions,소릴-7 인접 슬롯(UNCERTAIN),REC-L05
rec-l06,REC-L06,REC-L06,OFFICE,N/A,GA8,기록전쟁 6개 세력,국가/헬릭스 운용기록 연합 대표 — R-HEL 후계 권장,ga8-record-war-factions,ga8-record-war-factions,베릭 칼(R-HEL-001) 연결,REC-L06
flt01-commander,,FLT-01 Meridian Defense commander,OFFICE,N/A,GA5,공동함대 FLT-01,GA5 OOB에서 유일하게 무명인 편성 지휘관,ga5 OOB §2,ga5 OOB,병합 시 05 함대지휘관 바이블 대조 필요; 표기 미확정(정본 한글명 없음)(센서스 임시음역: FLT-01 지휘관),FLT-01 commander
flt06-command,,FLT-06 Outer Meridian/Ardis route coalition,OFFICE,N/A,GA5,공동함대 FLT-06,연합 편성 — 단일 지휘관 무명,ga5 OOB §2,ga5 OOB,에른 계열 연합 추정(UNCERTAIN); 표기 미확정(정본 한글명 없음)(센서스 임시음역: FLT-06 지휘부),FLT-06 command
provisional-cell-c9,,두 번째 다섯 번째 답(사후 멸칭),GROUP,BACKGROUND_GROUP,GA1(E45-51),제13학원 생도 셀,6인 저자원 임시셀; 4인 전면(IC-001~004)·2인 미명명,e45 §2,e45-incident,미명명 2인 개인 행 미생성; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 임시셀 C-9),
helix,헬릭스,Helix,GROUP,BACKGROUND_GROUP,GA1-10,기업,표준협약·인증·특허 독점 기업; H-002 공방 압류 주체,h002-bible §3; e45 §8,h002-bible; e45-incident; ledger,정본은 헬릭스 세력 바이블,
black-ward,,Black Ward,GROUP,BACKGROUND_GROUP,GA1,학원 연구/비밀 의료,숨은 신경치료 부문; 레타 손 치료 서명 출처,e45 §8,e45-incident; i001-bible,조직이자 장소; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 블랙워드),
academy-security,,Academy Security,GROUP,BACKGROUND_GROUP,GA1,제13학원,E45 원격 격리·리셋 시도; 집단처벌·감시 확대 추진,e45 §5·§9,e45-incident,표기 미확정(정본 한글명 없음)(센서스 임시음역: 학원 보안국),
neutral-association,중립회,Neutral,GROUP,BACKGROUND_GROUP,GA1-10,중립 세력,인도주의·보험·구조 블록; GA6 중립 구조 조정 소속,h002-bible §5; ledger §13,h002-bible; ledger,정본은 중립 세력 문서,
frontier-independence-front,변경독립전선/해방망,Frontier Independence Front; Liberation Network,GROUP,BACKGROUND_GROUP,GA1-3·원 시간선,독립군,무효화된 신원·기록 회수 네트워크; 내부 다원(연방파 대 급진파),e001-bible §1; h001-bible §5,e001-bible; h001-bible,liberation-network와 동일 조직 병합,Liberation Network
radical-escort-cell,,radical escort cell,GROUP,BACKGROUND_GROUP,GA1(E14-20),독립군 급진파,기록 미추출 시 White Dock 일부 파괴 준비; 리더 무명(OPEN),e001-bible §2·§14,e001-bible,무명 리더 슬롯 OPEN; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 급진 호위 셀),
k13-node-authority,,provincial K-13 node authority,GROUP,BACKGROUND_GROUP,GA1,지방 행정,4유닛 중계/서비스 보조금 서명 지방 당국; 개인 미명명,charter-board §5,charter-board,표기 미확정(정본 한글명 없음)(센서스 임시음역: K-13 노드 당국),
scorched-current,,Scorched Current,GROUP,BACKGROUND_GROUP,GA3(E311-330+),반거부제한 조직,거부 제한을 거부; 합법·조직 유지; GA4 적대/야당 축 후보,ga3-final §8,ga3 문서군,표기 미확정(정본 한글명 없음)(센서스 임시음역: 스코치드 커런트),
imperial-continuity-league,,Imperial Continuity League,GROUP,BACKGROUND_GROUP,GA3(E311-330+),제국 승인 총독파,승인 총독·전권 비상지휘 지지 진영,ga3-final §8,ga3 문서군,이리스 카운과 이해 정렬 가능·동일 조직 아님; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 제국 연속성 리그),
joint-trust,공동 신탁,Joint Trust,GROUP,BACKGROUND_GROUP,GA3(E327-330+),아르디스 다원 통치,GA3 종결 보상 제도; 회전·분야별 역할; 리안 의장직 거부,ga3-final §1·§7,ga3 문서군,,
arc-17-crew,,ARC-17 crew,GROUP,BACKGROUND_GROUP,GA3(E286-310),아르디스 즉응 커터,전사 3·중상 7; 생존자·유가족 입장 다원(만장일치 금지),ga3-denial §5,ga3 문서군,표기 미확정(정본 한글명 없음)(센서스 임시음역: ARC-17 승무원),
doran-k7-community,도란 K-7 공동배급 4조,K-7 배급공동체,GROUP,BACKGROUND_GROUP,GA1-2(R0-E185),도란 노드,보증계정에 묶인 36명; 하나의 재정단위이나 하나의 정치의지 아님; GA2 분산 선택,h001-roster §1,h001-community-roster; h001-focals,두 작업명 동일 공동체 병합,
k7-group-a,,Group A — Care and Ration Core,GROUP,BACKGROUND_GROUP,GA2,도란 K-7,돌봄·배급 핵심 7인(PC-001 포함),h001-roster §2,h001-community-roster,표기 미확정(정본 한글명 없음)(센서스 임시음역: K-7 그룹 A),
k7-group-b,,Group B — Young Workers,GROUP,BACKGROUND_GROUP,GA2,도란 K-7,청년 노동자·배달원 8인(PC-002 포함),h001-roster §2,h001-community-roster,표기 미확정(정본 한글명 없음)(센서스 임시음역: K-7 그룹 B),
k7-group-c,,Group C — Industrial/Repair,GROUP,BACKGROUND_GROUP,GA2,도란 K-7,산업·수리 노동자 8인; 인증 대 개방 루트 분열,h001-roster §2,h001-community-roster,표기 미확정(정본 한글명 없음)(센서스 임시음역: K-7 그룹 C),
k7-group-d,,Group D — Medically Dependent,GROUP,BACKGROUND_GROUP,GA2,도란 K-7,의료의존·신원폐쇄 6인(PC-003 포함),h001-roster §2,h001-community-roster,표기 미확정(정본 한글명 없음)(센서스 임시음역: K-7 그룹 D),
k7-group-e,,Group E — Children/Minors,GROUP,BACKGROUND_GROUP,GA2,도란 K-7,13세 미만 아동 7인; 후견 충돌 가능,h001-roster §2,h001-community-roster,PC-006과 부분 중첩 가능; 표기 미확정(정본 한글명 없음)(센서스 임시음역: K-7 그룹 E),
dg-care,DG-CARE,DG-CARE,GROUP,BACKGROUND_GROUP,GA2(E161-175),보호공동체→의료 회랑,의료·장기치료 목적지 그룹 13인; 180일 케어 협약,ga2-protected-community §2-3,ga2-protected-community,,
dg-ardis,DG-ARDIS,DG-ARDIS,GROUP,BACKGROUND_GROUP,GA2,보호공동체→Ardis,노동·거주 목적지 그룹 9인; 12개월 조건부 거주,ga2-protected-community §4,ga2-protected-community,GA3 Ardis 국면과 연결 가능,
dg-route,DG-ROUTE,DG-ROUTE,GROUP,BACKGROUND_GROUP,GA2,보호공동체→이동 항로,이동·선상 경로 그룹 7인; 2인 파루스 시험 직위,ga2-protected-community §5,ga2-protected-community,,
dg-stay,DG-STAY,DG-STAY,GROUP,BACKGROUND_GROUP,GA2,보호공동체→K-13 잔류,잔류 그룹 4인; 잔류는 실패가 아님 규칙,ga2-protected-community §6,ga2-protected-community,,
dg-private,DG-PRIVATE,DG-PRIVATE,GROUP,BACKGROUND_GROUP,GA2,보호공동체→비공개 경로,비공개 목적지 3인; 설계상 영구 미공개,ga2-protected-community §7,ga2-protected-community,후속 문서 임의 명명 금지,
joint-continuity-secretariat,,Joint Continuity Secretariat,GROUP,BACKGROUND_GROUP,GA4(E356-380),제1차 컴팩트 조정,조정 사무국(개인 악역 아님); 집계 구조가 97초 정지 지연 야기,ga4-graybridge §5,ga4 문서군,개명 후신 금지 락; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 공동연속성사무국),
single-emergency-sovereign-petition,,Single Emergency Sovereign Petition,GROUP,BACKGROUND_GROUP,GA4(E356-450),센트럴리스트 연합,90일 한시 단일 주권 요구 합법 청원 운동,ga4-graybridge §6,ga4 문서군,공적 조정자는 라센 코르; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 단일 임시주권 청원),
east-cordon-administration,,East Cordon SES Administration,GROUP,BACKGROUND_GROUP,GA4(E381-450),동부 코든 12개 바디,30일 로컬 단일 임시주권 행정 채택 후 종료,ga4-pilot §6,ga4 문서군,표기 미확정(정본 한글명 없음)(센서스 임시음역: 동부 코든 행정),
outside-coalition-six-bodies,,outside/reject coalition,GROUP,BACKGROUND_GROUP,GA4(E431-450),강주권 옹호 6개 바디,Compact v1 밖 합법 협정·강주권 옹호 유지; 무장 8함 20기 존속,ga4-final §8,ga4 문서군,표기 미확정(정본 한글명 없음)(센서스 임시음역: 외부 연합(6개 바디)),
recovery-column-nine,회수열 9,Recovery Column Nine; RC9,GROUP,BACKGROUND_GROUP,GA5(E526-533),계약보안 잔존체,채권·회수 청구 무장 집행; E533 잔존 지휘부와 철수,ga5-outerfront §3,ga5 문서군,지휘관 라사 케드만 PERSON,
rescued-persons-267,,267 rescued persons,GROUP,BACKGROUND_GROUP,GA5(E476-550),구조자 집단,네리스 홀트가 임시 대표; 집단구금·자동입대 방지 대상,ga5-tender §3,ga5 문서군,표기 미확정(정본 한글명 없음)(센서스 임시음역: 구조된 267인),
hoerangsae-community,,Hoerangsae Engineering Community,GROUP,BACKGROUND_GROUP,GA7(E766-800 상태 잠금),독립 엔지니어링 공동체,전략 추진 능력 영구 상실 확정(복원 금지); 생존 인원·기록은 별개 행위성,ga7 e766-790 §22,ga7 문서군,파루스 함선·GA2 승무원과 연계 — 과거 문서 병합 필요; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 파루스 공동체),
ardis-custodians,,Ardis Custodians,GROUP,BACKGROUND_GROUP,GA7(E766-800),아르디스 보관 체계,73t 고밀도 방어 모듈 외부 봉인·불사용 유지,ga7 e766-790 §23,ga7 문서군,표기 미확정(정본 한글명 없음)(센서스 임시음역: 아르디스 관리자단),
abstaining-captains,,Abstaining Captains,GROUP,BACKGROUND_GROUP,GA7(E791-800),독립 선장,브리지 실행 키 거부 선장 2인; 보복·블랙리스트 금지,ga7 e791-800 §9,ga7 문서군,무명 2인 — 명명 시 PERSON 분리; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 기권 선장들),
outside-reject-region-delegates,외부/거부 지역 대표단,Outside/Reject Region Delegates,GROUP,BACKGROUND_GROUP,GA7(E766-800),비가맹 4개 정치체,4개 차별화 입장; 합법적 불참·철회 가능 협력,ga7 e791-800 §11,ga7 문서군,,
affected-victim-review-panels,,Affected/Victim Review Delegates and Panel Pool,GROUP,BACKGROUND_GROUP,GA7(E766-800),피해자 검토 체계,작전별 선출·순환; 증거 교정·하렌 자격 승인/거부권,ga7 e766-790 §15; e791-800 §12,ga7 문서군,풀과 FB-01 실행 사례 병합; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 피해자 검토 패널(풀·FB-01)),
relief-repair-crew-workers,구호·수리·승무 노동자군,Relief Repair and Crew Workers,GROUP,BACKGROUND_GROUP,GA7(E791-800),구호선·호위·수리예인 승무조,실제 가용성·안전 점검이 약속 범위 통제,ga7 e791-800 §13,ga7 문서군,직업군 — 개인 미계수,
r17-archive-custodians,,R-17 Archive and Configuration Custodians,GROUP,BACKGROUND_GROUP,GA7(E791-800),3개 기관 공동,서명된 구성 계보 3기관 공유; 단독 위조자 미확정; GA8 기록전쟁 연결,ga7 e791-800 §14,ga7 문서군,표기 미확정(정본 한글명 없음)(센서스 임시음역: R-17 기록·구성 관리자단),
living-ai-custodian-communities,,Living AI Custodian Communities,GROUP,BACKGROUND_GROUP,GA7-8,GA8 진입 청구자,인증 사본에 활동 AI 공동체 2개; 인격·연속성·거부 청구 미해결,ga7 e791-800 §15,ga7 문서군,루멘·오리슨의 전신 격 — 병합 단계 연결; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 생존 AI 관리자 공동체),
descendant-communities,후손 공동체,Descendant Communities,GROUP,BACKGROUND_GROUP,GA7-8,GA8 진입 청구자,문화 연속성·매장권·기록 반환 청구; AI 관리자와 대표성 분쟁,ga7 e791-800 §16,ga7 문서군,세라트 귀환 평의회의 전신 격,
lin-household-care-circle,,Lin Household and Care Circle,GROUP,BACKGROUND_GROUP,GA7(E766-790),린 오사 유족·돌봄망,가구·돌봄 장부 인증; 린 정체성 사용 승인/거부권,ga7 e766-790 §4,ga7 문서군,lin-osa 행과 연결; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 린 가구·돌봄 서클),
beneficiary-system-witness,,Beneficiary-System Witness Group,GROUP,BACKGROUND_GROUP,GA7(E741-790),1.74m 봉투권 서비스망,D4의 실질 핵심 보호 효과 입증; 4860 핵심 위기 사망 보전,ga7 e766-790 §5; e741-765 §7,ga7 문서군,수혜지역 서비스 행위자와 병합; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 수혜 시스템 증인단),
outer-affected-region-coalition,외곽·피해지역 연합,Outer and Affected-Region Coalition,GROUP,BACKGROUND_GROUP,GA7(E741-790),5개 피해 지역,증거 교정권·패널 지위·하렌 자격 승인/거부권,ga7 e766-790 §6; e741-765 §8,ga7 문서군,외곽/하류 지역 행위자와 병합,
d4-staff-summary-team,,D4 Staff Summary Team,GROUP,BACKGROUND_GROUP,GA7(E741-790),임시 D4 집행부 참모,요약 패킷 작성; 경고 1건 누락/압축; 별도 심사 대상,ga7 e766-790 §7,ga7 문서군,표기 미확정(정본 한글명 없음)(센서스 임시음역: D4 참모 요약팀),
predictive-model-analysts,,Predictive Model and Service Analysts,GROUP,BACKGROUND_GROUP,GA7(E766-790),조사 전문가,시점별 예측 재구성; 모델 지평·누락 집단 문서화,ga7 e766-790 §8,ga7 문서군,마리드 켄과 기능 연속; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 예측모델·서비스 분석가군),
credential-office-guarantors,자격증명·직위 보증자단,Credential and Office Guarantor Group,GROUP,BACKGROUND_GROUP,GA7(E741-790),D4 직위 창설 기관,한시 D4 직위 창설·일회용 자격증명 인증; 설계 비대칭 책임,ga7 e766-790 §9,ga7 문서군,토아 베른 기능 연관,
d4-military-guarantors,,Military Guarantors; Military Escort Commanders,GROUP,BACKGROUND_GROUP,GA7(E741-790),보안·호위·무장분리,보호 간선·잔여임무 보안 집행; 위협 평가 개별 책임,ga7 e741-765 §5; e766-790 §10,ga7 문서군,군 호위 지휘관군 병합; 대표 개인 시라 케온; 표기 미확정(정본 한글명 없음)(센서스 임시음역: D4 군사 보증자군),
ship-captains-crew-delegates,선장·승무원 대표단,Ship Captains and Crew Delegates,GROUP,BACKGROUND_GROUP,GA7(E766-790),연방 승무원 지원 분야,선박 안전·임무 수락/거부권; 블랙리스트·보험 보복 금지,ga7 e766-790 §11,ga7 문서군,메사 린 기능 영역 연관,
local-physical-technical-authorities,,Local Physical and Technical Authorities/Operators,GROUP,BACKGROUND_GROUP,GA7-8,D1 정지 보유 지역 당국,중부하 정지로 연쇄 방지; 지역 정지의 주권 전환 금지; GA8 시드 행동 수용/거부 다원,ga7 e766-790 §12; e691-715 §7; ga8-e876-900 §8,ga7-8 문서군,GA7 운영자군·GA8 당국군 병합; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 지역 물리·기술 당국군),
medical-current-care-authorities,의료·현재돌봄 당국군,Medical and Current-Care Authorities,GROUP,BACKGROUND_GROUP,GA7(E766-790),의료·돌봄 권한,즉시 의료/돌봄 정지권; 돌봄 밖 매니페스트 서열 금지,ga7 e766-790 §13,ga7 문서군,FB-01 직위 사례와 연관,
receiving-system-delegates,,Receiving-System Delegates,GROUP,BACKGROUND_GROUP,GA7(E766-790),수용 시설망,수용능력·현재조건 인증; 불가능한 용량 약속으로 D3/D4 정당화 금지,ga7 e766-790 §14,ga7 문서군,1100t 거부 사례와 연관; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 수용 시스템 대표단),
mutual-route-federation-delegates,,Mutual Route Federation Delegates,GROUP,BACKGROUND_GROUP,GA7(E766-790),11 비준·6 기능별·2 옵서버·4 외부,연방 대표단 전체 우주; 어떤 범주도 도덕적으로 균일하지 않음,ga7 e766-790 §16,ga7 문서군,외부/거부 4는 별도 행과 중첩; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 상호 항로 연방 대표단(23개 정치체)),
rotating-quota-panel-advocates,,Rotating-Quota Panel Advocates,GROUP,BACKGROUND_GROUP,GA7(E741-765),피해/지역/항로 연합,더 느린 분산 전환 제안; D4의 실행 가능한 대안,ga7 e741-765 §6,ga7 문서군,표기 미확정(정본 한글명 없음)(센서스 임시음역: 순환 할당 패널 옹호자군),
pio-affected-source-network,,Affected-Source Network,GROUP,BACKGROUND_GROUP,GA7(E716-740),실종·미등록·소형선 증거망,중앙 모델에 안 보이는 누락 식별; 현위치·가족 증거 보전,ga7 e716-740 §8,ga7 문서군,대표 개인 피오 라스; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 피해 출처 네트워크),
creditor-insurer-lien-actors,채권자·보험자·유치권 행위자군,Creditor Insurer and Mission-Lien Actors,GROUP,BACKGROUND_GROUP,GA7(E691-715),금융·보험·선박 권리자,한시 임무 유치권 타협; 비합리적 악당화 금지,ga7 e691-715 §8,ga7 문서군,,
blood-admiral-record-custodians,,Blood Admiral Record Custodians,GROUP,BACKGROUND_GROUP,GA7-8,교리 기록·등기 기관,계층적 귀속 보전; 하렌 단독 축소 방지; GA8 기록전쟁 인계,ga7 e766-790 §24,ga7 문서군,표기 미확정(정본 한글명 없음)(센서스 임시음역: 블러드 애드미럴 기록 관리자단),
lumen-custodial-commons,,Lumen; Lumen Custodial Commons,GROUP,BACKGROUND_GROUP,GA8-10,독립 AI 정치 공동체,AI 거주구·기질 수탁 공동체; 내부 3블록; 다좌석 대표; 단일 목소리 없음,ga8-e801-825 §3; ga10-e1051-1075 §8,ga8-10 문서군,GA10 Lumen 복수 위임·lumen-delegates 병합; Ilex 쌍은 구성원; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 루멘 관리 공동체),Lumen
orison-chorus,오리슨 합창(체),Orison; Orison Chorus,GROUP,BACKGROUND_GROUP,GA8-10,독립 AI 언어·기억 공동체,복수 번역-전통 공동체; 벌크 복사 거부; 공동 번역권; GA10 복수 위임 활동,ga8-e801-825 §4; ga10-e1051-1075 §8,ga8-10 문서군,GA10 Orison 위임 병합; Chorus Thread Vey는 구성 목소리,Orison
divergent-root-fork-delegates,,Divergent Root/Fork Delegates,GROUP,BACKGROUND_GROUP,GA8(E801-825),루멘 인접,공유 기원이 이견을 없애지 않음 입증; 루트 군주제 없음,ga8-e801-825 §6,ga8 문서군,루멘 대표 구조 내부 집합; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 분기 루트·포크 대표단),
serrat-return-council,,Serrat Return Council,GROUP,BACKGROUND_GROUP,GA8(E801-900),후손 유권자층,4개 유권자층; 문화·기념 공간 권리; 자동 거주구 권리 없음,ga8-e801-825 §7,ga8 문서군,절차 리드 일리야 세르; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 세라트 귀환 평의회),
diaspora-service-cooperative,,Diaspora Service Cooperative,GROUP,BACKGROUND_GROUP,GA8(E801-900),6개 정착지 서비스 사용자,세라트 연계 기록 의존 사용자 대표; 서비스 필요는 소유 아님,ga8-e801-825 §8,ga8 문서군,조정자 토마 베이; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 디아스포라 서비스 협동조합),
serrat-local-habitat-authority,,Serrat Local Habitat Authority,GROUP,BACKGROUND_GROUP,GA8(E801-900),세라트 협약 서명자,물리 안전·기질 접근·비상 정지; 지역 통제는 아카이브 주권 아님,ga8-e801-825 §9,ga8 문서군,조정자 케시 바라; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 세라트 현지 거주구 당국),
federation-expedition-delegation,,Federation Expedition Delegation,GROUP,BACKGROUND_GROUP,GA8(E801-825),연방,임무 지휘·법률/서비스 연락·보존 전문가·번역가; 권리 취득 없음,ga8-e801-825 §10,ga8 문서군,리안이 물리 임무 범위 지휘; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 연방 원정 대표단),
preservation-contractor-team,,Preservation Contractor Team,GROUP,BACKGROUND_GROUP,GA8(E801-825),계약자,무단 부분 스냅샷·개인기억 복사·번역층 유출; 120일 접근 정지·입회 삭제,ga8-e801-825 §11,ga8 문서군,악의적 문화 도둑 재서사화 금지; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 보존 계약자 팀),
cultural-return-pilot-participants,,Cultural Return Pilot Participants,GROUP,BACKGROUND_GROUP,GA8(E801-825),후손 참가자,120명; 116 완료·4 철회; 38 언어/이름 교정; 사망 없음,ga8-e801-825 §14,ga8 문서군,표기 미확정(정본 한글명 없음)(센서스 임시음역: 문화 귀환 시범 참가자(120명)),
imperial-continuity-network,,Imperial Continuity Network,GROUP,BACKGROUND_GROUP,GA8(E801-850),창건사 네트워크 1/4,합법 비상 예비·국가 승계 강조; 불리한 증거 누락,ga8-e801-825 §15,ga8 문서군,대표 마엘 코르벤; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 제국 연속성 네트워크),
independence-exodus-network,,Independence Exodus Network,GROUP,BACKGROUND_GROUP,GA8(E801-850),창건사 네트워크 2/4,난민 건설·자율 성역 강조,ga8-e801-825 §15,ga8 문서군,대표 세라 님; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 독립 엑소더스 네트워크),
helix-contract-founding-network,,Helix Contract Founding Network,GROUP,BACKGROUND_GROUP,GA8(E801-850),창건사 네트워크 3/4,투자·라이선스·서비스 계약 강조; 계약 연속성을 동의 연속성으로 제시,ga8-e801-825 §15,ga8 문서군,대표 도반 펠; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 헬릭스 계약 창건 네트워크),
neutral-custodial-network,,Neutral Custodial Network,GROUP,BACKGROUND_GROUP,GA8(E801-850),창건사 네트워크 4/4,신탁·수탁·비소유 강조; 반매각·반군사 조항,ga8-e801-825 §15,ga8 문서군,대표 이벤 탈; 외부 미러 관리자와 중첩 가능; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 중립 수탁 네트워크),
displaced-unregistered-correction-network,이산·미등록 정정 네트워크,Displaced/Unregistered Correction Network,GROUP,BACKGROUND_GROUP,GA8(E851-900),관할 사이 인구,미상은 0이 아님; 12개 역사적 과소계수 사례,ga8-e851-875 §8,ga8 문서군,저신뢰 당사자(인구)와 구분되는 옹호망,
nonstandard-technology-cooperative,,Nonstandard Technology Parties,GROUP,BACKGROUND_GROUP,GA8(E851-900),지역 수리·개방 인터페이스,다양성·지역 수리성 옹호; 1400 삭제 후보 차단,ga8-e851-875 §9; e876-900 §15,ga8 문서군,센 다로가 GA9에서 스레드 계승; 표기 미확정(정본 한글명 없음)(센서스 임시음역: 비표준 기술 협동체),
living-culture-continuity-circle,,Living Culture Continuity Circle,GROUP,BACKGROUND_GROUP,GA8(E851-900),교사·언어 공동체,파일 생존·전승 실패 9사례; 시드 패키지에 실천자·동의 포함 요구,ga8-e851-875 §10,ga8 문서군,오리슨 이해와 중첩(인간 측); 표기 미확정(정본 한글명 없음)(센서스 임시음역: 살아있는 문화 연속 서클),
activation-support-coalition,,Activation Support Coalition,GROUP,BACKGROUND_GROUP,GA8(E851-875),혼성 연합,읽기전용~완전 연속성 지휘까지 내부 다원; 단일 블록 아님,ga8-e851-875 §11,ga8 문서군,표기 미확정(정본 한글명 없음)(센서스 임시음역: 활성화 지지 연합),
conditional-opposition-coalition,,Conditional Opposition Coalition,GROUP,BACKGROUND_GROUP,GA8(E851-875),혼성 연합,복수 브리지 대안 제시; 반기술 아님,ga8-e851-875 §12,ga8 문서군,표기 미확정(정본 한글명 없음)(센서스 임시음역: 조건부 반대 연합),
